,Service Name,Transport Protocol,Description
211,"914c-g, 914c/g","tcp, udp","Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g""., Texas Instruments 914C/G Terminal"
212,anet,"tcp, udp",ATEXSSTR
213,ipx,"tcp, udp",IPX
214,vmpwscs,"tcp, udp",VM PWSCS
215,softpc,"tcp, udp",Insignia Solutions
216,CAIlic,"tcp, udp",Computer Associates Int'l License Server
217,dbase,"tcp, udp",dBASE Unix
218,mpp,"tcp, udp",Netix Message Posting Protocol
219,uarps,"tcp, udp",Unisys ARPs
220,imap3,"tcp, udp",Interactive Mail Access Protocol v3
221,fln-spx,"tcp, udp",Berkeley rlogind with SPX auth
222,rsh-spx,"tcp, udp",Berkeley rshd with SPX auth
223,cdc,"tcp, udp",Certificate Distribution Center
224,masqdialer,"tcp, udp",masqdialer
225,nan,,Reserved
226,nan,,Reserved
227,nan,,Reserved
228,nan,,Reserved
229,nan,,Reserved
230,nan,,Reserved
231,nan,,Reserved
232,nan,,Reserved
233,nan,,Reserved
234,nan,,Reserved
235,nan,,Reserved
236,nan,,Reserved
237,nan,,Reserved
238,nan,,Reserved
239,nan,,Reserved
240,nan,,Reserved
241,nan,,Reserved
242,direct,"tcp, udp",Direct
243,sur-meas,"tcp, udp",Survey Measurement
244,inbusiness,"tcp, udp",inbusiness
245,link,"tcp, udp",LINK
246,dsp3270,"tcp, udp",Display Systems Protocol
247,"subntbcst-tftp, subntbcst_tftp","tcp, udp","SUBNTBCST_TFTP, SUBNTBCST_TFTP
IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
248,bhfhs,"tcp, udp",bhfhs
256,rap,"tcp, udp",RAP
257,set,"tcp, udp",Secure Electronic Transaction
259,esro-gen,"tcp, udp",Efficient Short Remote Operations
260,openport,"tcp, udp",Openport
261,nsiiops,"tcp, udp",IIOP Name Service over TLS/SSL
262,arcisdms,"tcp, udp",Arcisdms
263,hdap,"tcp, udp",HDAP
264,bgmp,"tcp, udp",BGMP
265,x-bone-ctl,"tcp, udp",X-Bone CTL
266,sst,"tcp, udp",SCSI on ST
267,td-service,"tcp, udp",Tobit David Service Layer
268,td-replica,"tcp, udp",Tobit David Replica
269,manet,"tcp, udp",MANET Protocols
270,gist,"tcp, udp",Q-mode encapsulation for GIST messages
271,pt-tls,"tcp, udp",IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)
272,nan,,Unassigned
273,nan,,Unassigned
274,nan,,Unassigned
275,nan,,Unassigned
276,nan,,Unassigned
277,nan,,Unassigned
278,nan,,Unassigned
279,nan,,Unassigned
280,http-mgmt,"tcp, udp",http-mgmt
281,personal-link,"tcp, udp",Personal Link
282,cableport-ax,"tcp, udp",Cable Port A/X
283,rescap,"tcp, udp",rescap
284,corerjd,"tcp, udp",corerjd
286,fxp,"tcp, udp",FXP Communication
287,k-block,"tcp, udp",K-BLOCK
308,novastorbakcup,"tcp, udp",Novastor Backup
309,entrusttime,"tcp, udp",EntrustTime
310,bhmds,"tcp, udp",bhmds
311,asip-webadmin,"tcp, udp",AppleShare IP WebAdmin
312,vslmp,"tcp, udp",VSLMP
313,magenta-logic,"tcp, udp",Magenta Logic
314,opalis-robot,"tcp, udp",Opalis Robot
315,dpsi,"tcp, udp",DPSI
316,decauth,"tcp, udp",decAuth
317,zannet,"tcp, udp",Zannet
318,pkix-timestamp,"tcp, udp",PKIX TimeStamp
319,ptp-event,"tcp, udp",PTP Event
320,ptp-general,"tcp, udp",PTP General
321,pip,"tcp, udp",PIP
322,rtsps,"tcp, udp",RTSPS
323,rpki-rtr,"tcp, udp",Resource PKI to Router Protocol
324,rpki-rtr-tls,"tcp, udp",Resource PKI to Router Protocol over TLS
333,texar,"tcp, udp",Texar Security Port
344,pdap,"tcp, udp",Prospero Data Access Protocol
345,pawserv,"tcp, udp",Perf Analysis Workbench
346,zserv,"tcp, udp",Zebra server
347,fatserv,"tcp, udp",Fatmen Server
348,csi-sgwp,"tcp, udp",Cabletron Management Protocol
349,mftp,"tcp, udp",mftp
350,matip-type-a,"tcp, udp",MATIP Type A
351,"bhoetty, matip-type-b","tcp, udp","MATIP Type B, bhoetty"
352,"bhoedap4, dtag-ste-sb","tcp, udp","DTAG, bhoedap4"
353,ndsauth,"tcp, udp",NDSAUTH
354,bh611,"tcp, udp",bh611
355,datex-asn,"tcp, udp",DATEX-ASN
356,cloanto-net-1,"tcp, udp",Cloanto Net 1
357,bhevent,"tcp, udp",bhevent
358,shrinkwrap,"tcp, udp",Shrinkwrap
360,scoi2odialog,"tcp, udp",scoi2odialog
361,semantix,"tcp, udp",Semantix
362,srssend,"tcp, udp",SRS Send
363,"rsvp-tunnel, rsvp_tunnel","tcp, udp","RSVP Tunnel
IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""., RSVP Tunnel"
364,aurora-cmgr,"tcp, udp",Aurora CMGR
365,dtk,"tcp, udp",DTK
366,odmr,"tcp, udp",ODMR
367,mortgageware,"tcp, udp",MortgageWare
368,qbikgdp,"tcp, udp",QbikGDP
369,rpc2portmap,"tcp, udp",rpc2portmap
370,codaauth2,"tcp, udp",codaauth2
371,clearcase,"tcp, udp",Clearcase
372,ulistproc,"tcp, udp",ListProcessor
373,legent-1,"tcp, udp",Legent Corporation
374,legent-2,"tcp, udp",Legent Corporation
375,hassle,"tcp, udp",Hassle
376,nip,"tcp, udp",Amiga Envoy Network Inquiry Protocol
377,tnETOS,"tcp, udp",NEC Corporation
378,dsETOS,"tcp, udp",NEC Corporation
379,is99c,"tcp, udp",TIA/EIA/IS-99 modem client
380,is99s,"tcp, udp",TIA/EIA/IS-99 modem server
381,hp-collector,"tcp, udp",hp performance data collector
382,hp-managed-node,"tcp, udp",hp performance data managed node
383,hp-alarm-mgr,"tcp, udp",hp performance data alarm manager
384,arns,"tcp, udp",A Remote Network Server System
385,ibm-app,"tcp, udp",IBM Application
386,asa,"tcp, udp",ASA Message Router Object Def.
387,aurp,"tcp, udp",Appletalk Update-Based Routing Pro.
388,unidata-ldm,"tcp, udp",Unidata LDM
389,ldap,"tcp, udp",Lightweight Directory Access Protocol
390,uis,"tcp, udp",UIS
391,synotics-relay,"tcp, udp",SynOptics SNMP Relay Port
392,synotics-broker,"tcp, udp",SynOptics Port Broker Port
393,meta5,"tcp, udp",Meta5
394,embl-ndt,"tcp, udp",EMBL Nucleic Data Transfer
395,netcp,"tcp, udp",NetScout Control Protocol
396,netware-ip,"tcp, udp",Novell Netware over IP
397,mptn,"tcp, udp",Multi Protocol Trans. Net.
398,kryptolan,"tcp, udp",Kryptolan
399,iso-tsap-c2,"tcp, udp","ISO Transport Class 2 Non-Control over UDP, ISO Transport Class 2 Non-Control over TCP"
400,osb-sd,"tcp, udp",Oracle Secure Backup
401,ups,"tcp, udp",Uninterruptible Power Supply
402,genie,"tcp, udp",Genie Protocol
403,decap,"tcp, udp",decap
404,nced,"tcp, udp",nced
405,ncld,"tcp, udp",ncld
406,imsp,"tcp, udp",Interactive Mail Support Protocol
407,timbuktu,"tcp, udp",Timbuktu
408,prm-sm,"tcp, udp",Prospero Resource Manager Sys. Man.
409,prm-nm,"tcp, udp",Prospero Resource Manager Node Man.
410,decladebug,"tcp, udp",DECLadebug Remote Debug Protocol
411,rmt,"tcp, udp",Remote MT Protocol
412,synoptics-trap,"tcp, udp",Trap Convention Port
413,smsp,"tcp, udp",Storage Management Services Protocol
414,infoseek,"tcp, udp",InfoSeek
415,bnet,"tcp, udp",BNet
416,silverplatter,"tcp, udp",Silverplatter
417,onmux,"tcp, udp",Onmux
418,hyper-g,"tcp, udp",Hyper-G
419,ariel1,"tcp, udp",Ariel 1
420,smpte,"tcp, udp",SMPTE
421,ariel2,"tcp, udp",Ariel 2
422,ariel3,"tcp, udp",Ariel 3
423,opc-job-start,"tcp, udp",IBM Operations Planning and Control Start
424,opc-job-track,"tcp, udp",IBM Operations Planning and Control Track
425,icad-el,"tcp, udp",ICAD
426,smartsdp,"tcp, udp",smartsdp
427,svrloc,"tcp, udp",Server Location
428,"ocs-cmu, ocs_cmu","tcp, udp","OCS_CMU, OCS_CMU
IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
429,"ocs_amu, ocs-amu","tcp, udp","OCS_AMU
IANA assigned this well-formed service name as a replacement for ""ocs_amu""., OCS_AMU"
430,utmpsd,"tcp, udp",UTMPSD
431,utmpcd,"tcp, udp",UTMPCD
432,iasd,"tcp, udp",IASD
433,nnsp,"tcp, udp",NNTP for transit servers (NNSP)
434,mobileip-agent,"tcp, udp",MobileIP-Agent
435,mobilip-mn,"tcp, udp",MobilIP-MN
436,dna-cml,"tcp, udp",DNA-CML
437,comscm,"tcp, udp",comscm
438,dsfgw,"tcp, udp",dsfgw
439,dasp,"tcp, udp",dasp
440,sgcp,"tcp, udp",sgcp
441,decvms-sysmgt,"tcp, udp",decvms-sysmgt
442,"cvc-hostd, cvc_hostd","tcp, udp","cvc_hostd
IANA assigned this well-formed service name as a replacement for ""cvc_hostd""., cvc_hostd"
443,https,"sctp, tcp, udp","HTTPS, http protocol over TLS/SSL"
444,snpp,"tcp, udp",Simple Network Paging Protocol
445,microsoft-ds,"tcp, udp",Microsoft-DS
446,ddm-rdb,"tcp, udp",DDM-Remote Relational Database Access
447,ddm-dfm,"tcp, udp",DDM-Distributed File Management
448,ddm-ssl,"tcp, udp",DDM-Remote DB Access Using Secure Sockets
449,as-servermap,"tcp, udp",AS Server Mapper
450,tserver,"tcp, udp",Computer Supported Telecomunication Applications
451,sfs-smp-net,"tcp, udp",Cray Network Semaphore server
452,sfs-config,"tcp, udp",Cray SFS config server
453,creativeserver,"tcp, udp",CreativeServer
454,contentserver,"tcp, udp",ContentServer
455,creativepartnr,"tcp, udp",CreativePartnr
456,"macon-tcp, macon-udp","tcp, udp","macon-tcp, macon-udp"
457,scohelp,"tcp, udp",scohelp
458,appleqtc,"tcp, udp",apple quick time
459,ampr-rcmd,"tcp, udp",ampr-rcmd
460,skronk,"tcp, udp",skronk
461,datasurfsrv,"tcp, udp",DataRampSrv
462,datasurfsrvsec,"tcp, udp",DataRampSrvSec
463,alpes,"tcp, udp",alpes
464,kpasswd,"tcp, udp",kpasswd
465,"urd, igmpv3lite, submissions","tcp, udp","IGMP over UDP for SSM, URL Rendezvous Directory for SSM, Message Submission over TLS protocol"
466,digital-vrc,"tcp, udp",digital-vrc
467,mylex-mapd,"tcp, udp",mylex-mapd
468,photuris,"tcp, udp",proturis
469,rcp,"tcp, udp",Radio Control Protocol
470,scx-proxy,"tcp, udp",scx-proxy
471,mondex,"tcp, udp",Mondex
472,ljk-login,"tcp, udp",ljk-login
473,hybrid-pop,"tcp, udp",hybrid-pop
474,"tn-tl-w2, tn-tl-w1","tcp, udp","tn-tl-w2, tn-tl-w1"
475,tcpnethaspsrv,"tcp, udp",tcpnethaspsrv
476,tn-tl-fd1,"tcp, udp",tn-tl-fd1
477,ss7ns,"tcp, udp",ss7ns
478,spsc,"tcp, udp",spsc
479,iafserver,"tcp, udp",iafserver
480,iafdbase,"tcp, udp",iafdbase
481,ph,"tcp, udp",Ph service
482,bgs-nsi,"tcp, udp",bgs-nsi
483,ulpnet,"tcp, udp",ulpnet
484,integra-sme,"tcp, udp",Integra Software Management Environment
485,powerburst,"tcp, udp",Air Soft Power Burst
486,avian,"tcp, udp",avian
487,saft,"tcp, udp",saft Simple Asynchronous File Transfer
488,gss-http,"tcp, udp",gss-http
489,nest-protocol,"tcp, udp",nest-protocol
490,micom-pfs,"tcp, udp",micom-pfs
491,go-login,"tcp, udp",go-login
492,ticf-1,"tcp, udp",Transport Independent Convergence for FNA
493,ticf-2,"tcp, udp",Transport Independent Convergence for FNA
494,pov-ray,"tcp, udp",POV-Ray
495,intecourier,"tcp, udp",intecourier
496,pim-rp-disc,"tcp, udp",PIM-RP-DISC
497,retrospect,"tcp, udp",Retrospect backup and restore service
498,siam,"tcp, udp",siam
499,iso-ill,"tcp, udp",ISO ILL Protocol
500,isakmp,"tcp, udp",isakmp
501,stmf,"tcp, udp",STMF
502,mbap,"tcp, udp",Modbus Application Protocol
503,intrinsa,"tcp, udp",Intrinsa
504,citadel,"tcp, udp",citadel
505,mailbox-lm,"tcp, udp",mailbox-lm
506,ohimsrv,"tcp, udp",ohimsrv
507,crs,"tcp, udp",crs
508,xvttp,"tcp, udp",xvttp
509,snare,"tcp, udp",snare
510,fcp,"tcp, udp",FirstClass Protocol
511,passgo,"tcp, udp",PassGo
512,"comsat, biff, exec","tcp, udp","used by mail system to notify users of new mail received; currently receives messages only from processes on the same machine, nan, remote process execution; authentication performed using passwords and UNIX login names"
513,"who, login","tcp, udp","remote login a la telnet; automatic authentication performed based on priviledged port numbers and distributed data bases which identify ""authentication domains"", maintains data bases showing who's logged in to machines on a local net and the load average of the machine"
514,"shell, syslog","tcp, udp","but automatic authentication is performed as for login server, cmd like exec, nan"
515,printer,"tcp, udp",spooler
516,videotex,"tcp, udp",videotex
517,talk,"tcp, udp","like tenex link, doesn't use link protocol (this is actually just a rendezvous port from which a tcp connection is established), but across machine - unfortunately"
518,ntalk,"tcp, udp",nan
519,utime,"tcp, udp",unixtime
520,"efs, router","tcp, udp","local routing process (on site); uses variant of Xerox NS routing information protocol - RIP, extended file name server"
521,ripng,"tcp, udp",ripng
522,ulp,"tcp, udp",ULP
523,ibm-db2,"tcp, udp",IBM-DB2
524,ncp,"tcp, udp",NCP
525,timed,"tcp, udp",timeserver
526,tempo,"tcp, udp",newdate
527,stx,"tcp, udp",Stock IXChange
528,custix,"tcp, udp",Customer IXChange
529,irc-serv,"tcp, udp",IRC-SERV
530,courier,"tcp, udp",rpc
531,conference,"tcp, udp",chat
532,netnews,"tcp, udp",readnews
533,netwall,"tcp, udp",for emergency broadcasts
534,windream,"tcp, udp",windream Admin
535,iiop,"tcp, udp",iiop
536,opalis-rdv,"tcp, udp",opalis-rdv
537,nmsp,"tcp, udp",Networked Media Streaming Protocol
538,gdomap,"tcp, udp",gdomap
539,apertus-ldp,"tcp, udp",Apertus Technologies Load Determination
540,uucp,"tcp, udp",uucpd
541,uucp-rlogin,"tcp, udp",uucp-rlogin
542,commerce,"tcp, udp",commerce
543,klogin,"tcp, udp",nan
544,kshell,"tcp, udp",krcmd
545,appleqtcsrvr,"tcp, udp",appleqtcsrvr
546,dhcpv6-client,"tcp, udp",DHCPv6 Client
547,dhcpv6-server,"tcp, udp",DHCPv6 Server
548,afpovertcp,"tcp, udp",AFP over TCP
549,idfp,"tcp, udp",IDFP
550,new-rwho,"tcp, udp",new-who
551,cybercash,"tcp, udp",cybercash
552,devshr-nts,"tcp, udp",DeviceShare
553,pirp,"tcp, udp",pirp
554,rtsp,"tcp, udp",Real Time Streaming Protocol (RTSP)
555,dsf,"tcp, udp",nan
556,remotefs,"tcp, udp",rfs server
557,openvms-sysipc,"tcp, udp",openvms-sysipc
558,sdnskmp,"tcp, udp",SDNSKMP
559,teedtap,"tcp, udp",TEEDTAP
560,rmonitor,"tcp, udp",rmonitord
561,monitor,"tcp, udp",nan
562,chshell,"tcp, udp",chcmd
563,nntps,"tcp, udp",nntp protocol over TLS/SSL (was snntp)
564,9pfs,"tcp, udp",plan 9 file service
565,whoami,"tcp, udp",whoami
566,streettalk,"tcp, udp",streettalk
567,banyan-rpc,"tcp, udp",banyan-rpc
568,ms-shuttle,"tcp, udp",microsoft shuttle
569,ms-rome,"tcp, udp",microsoft rome
570,meter,"tcp, udp",demon
571,meter,"tcp, udp",udemon
572,sonar,"tcp, udp",sonar
573,banyan-vip,"tcp, udp",banyan-vip
574,ftp-agent,"tcp, udp",FTP Software Agent System
575,vemmi,"tcp, udp",VEMMI
576,ipcd,"tcp, udp",ipcd
577,vnas,"tcp, udp",vnas
578,ipdd,"tcp, udp",ipdd
579,decbsrv,"tcp, udp",decbsrv
580,sntp-heartbeat,"tcp, udp",SNTP HEARTBEAT
581,bdp,"tcp, udp",Bundle Discovery Protocol
582,scc-security,"tcp, udp",SCC Security
583,philips-vc,"tcp, udp",Philips Video-Conferencing
584,keyserver,"tcp, udp",Key Server
585,nan,,De-registered
586,password-chg,"tcp, udp",Password Change
587,submission,"tcp, udp",Message Submission
588,cal,"tcp, udp",CAL
589,eyelink,"tcp, udp",EyeLink
590,tns-cml,"tcp, udp",TNS CML
591,http-alt,"tcp, udp","FileMaker, Inc. - HTTP Alternate (see Port 80)"
592,eudora-set,"tcp, udp",Eudora Set
593,http-rpc-epmap,"tcp, udp",HTTP RPC Ep Map
594,tpip,"tcp, udp",TPIP
595,cab-protocol,"tcp, udp",CAB Protocol
596,smsd,"tcp, udp",SMSD
597,ptcnameservice,"tcp, udp",PTC Name Service
598,sco-websrvrmg3,"tcp, udp",SCO Web Server Manager 3
599,acp,"tcp, udp",Aeolon Core Protocol
600,ipcserver,"tcp, udp",Sun IPC server
601,syslog-conn,"tcp, udp",Reliable Syslog Service
602,xmlrpc-beep,"tcp, udp",XML-RPC over BEEP
603,idxp,"tcp, udp",IDXP
604,tunnel,"tcp, udp",TUNNEL
605,soap-beep,"tcp, udp",SOAP over BEEP
606,urm,"tcp, udp",Cray Unified Resource Manager
607,nqs,"tcp, udp",nqs
608,sift-uft,"tcp, udp",Sender-Initiated/Unsolicited File Transfer
609,npmp-trap,"tcp, udp",npmp-trap
610,npmp-local,"tcp, udp",npmp-local
611,npmp-gui,"tcp, udp",npmp-gui
612,hmmp-ind,"tcp, udp",HMMP Indication
613,hmmp-op,"tcp, udp",HMMP Operation
614,sshell,"tcp, udp",SSLshell
615,sco-inetmgr,"tcp, udp",Internet Configuration Manager
616,sco-sysmgr,"tcp, udp",SCO System Administration Server
617,sco-dtmgr,"tcp, udp",SCO Desktop Administration Server
618,dei-icda,"tcp, udp",DEI-ICDA
619,compaq-evm,"tcp, udp",Compaq EVM
620,sco-websrvrmgr,"tcp, udp",SCO WebServer Manager
621,escp-ip,"tcp, udp",ESCP
622,collaborator,"tcp, udp",Collaborator
